timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT
410,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13724e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.0006914,-1.5,nan,0,0,3,0,0,0,0,0,0
420,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13724e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000670878,-1.5,nan,0,0,3,0,0,0,0,0,0
430,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13725e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000650965,-1.5,nan,0,0,3,0,0,0,0,0,0
440,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13725e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000630375,-1.5,nan,0,0,3,0,0,0,0,0,0
450,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13726e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000611675,-1.5,nan,0,0,3,0,0,0,0,0,0
460,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13727e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000593519,-1.5,nan,0,0,3,0,0,0,0,0,0
470,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13727e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000574746,-1.5,nan,0,0,3,0,0,0,0,0,0
480,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13728e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000557687,-1.5,nan,0,0,3,0,0,0,0,0,0
490,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13728e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000541134,-1.5,nan,0,0,3,0,0,0,0,0,0
500,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13729e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000522955,-1.5,nan,0,0,3,0,0,0,0,0,0
510,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13729e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000507433,-1.5,nan,0,0,3,0,0,0,0,0,0
